,listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,market_price
11759,1030542,Honda Fit 1.3A (COE till 11/2028),,fit,swift and nimble hatchback great for maneuvering and parking. fully done up to showroom unit standard. new paintwork. no gimmicks. high loan available. call/sms/whatsapp to view and test drive now!,2008.0,,25-nov-2008,hatchback,"coe car, low mileage car",auto,1010.0,73.0,,1339.0,3.0,7190.0,29670.0,767.0,21371.0,122688.0,12329.0,12329.0,,,uncategorized,view specs of the honda fit,premium upholstery leather seats. sports rims/new tyres. factory fitted audio.,,57000.0,51811.555
11760,1030690,Mitsubishi Lancer 1.6M (COE till 10/2023),,lancer,0,2008.0,,29-oct-2008,mid-sized sedan,"coe car, low mileage car",manual,1162.0,79.0,,1584.0,2.0,7910.0,15142.0,954.0,6430.0,125000.0,11559.0,11559.0,,,uncategorized,"responsive and powerful 1.6l 4 cylinder inline 16 valve sohc engine, 5 speed auto transmission. abs/srs airbags, knockdown rear seats. view specs of the mitsubishi lancer","4-1 stainless header, operated muffler, coil over, cs5 grille.",,18500.0,19070.512
11761,1021737,BMW 5 Series 528i (New 10-yr COE),bmw,528i,"accident free, low mileage, well maintained interior in pristine condition. comes with m-sport kit + sports rim + glossy new paintwork. this 528i has gone thru complete checks with all necessary repairs done, backed by our in-house workshop 12 mths warranty on engine & gearbox plus 1 year free servicing so you can buy with confidence. we specialize in sales & maintenance of bmw. 100% loan/trade-in",2011.0,,20-oct-2011,luxury sedan,"coe car, premium ad car, low mileage car",auto,1730.0,190.0,,2996.0,3.0,10380.0,,2382.0,,97371.0,49072.0,49072.0,,,uncategorized,"bmw 3.0l inline 6 cylinder engine producing 254bhp, 300nm of torque. 8 speed  steptronic transmission with paddle shifters. view specs of the bmw 528i","18"" sports rims, reverse camera/sensors, electric memory seats, cruise control, bluetooth, sunroof, rear/side blinds, m-tech bodykit.",,114300.0,116873.25
11762,988410,Kia Cerato K3 1.6A SX,kia,cerato,"elegant silver, ''sx'' model with high specifications, serviced by agent, this is not a rental/limousine unit, genuine low mileage done, spacious sedan, low maintenance cost, very well maintained, easy financing, flexible in-house loan packages available.",2016.0,,18-may-2016,mid-sized sedan,parf car,auto,1295.0,95.3,,1591.0,2.0,9490.0,47889.0,738.0,34004.0,70200.0,16226.0,16226.0,,,uncategorized,"airbags, abs, reliable 1.6l 4 cylinder dual cvvt engine, 6 speed auto transmission, paddle shifters, cruise control, disc brakes. view specs of the kia cerato k3","leather seats, sports rims, audio system, multi function steering, auto headlights, navigation system, reverse camera.",,58300.0,59068.61
11763,997584,Nissan NV200 1.5M (COE till 04/2026),nissan,nv200,popular and reliable diesel van! just arrive with 5 yrs coe! fresh paint work! wear and tear parts all replaced! ideal for small business startup or delivery! full loan available and trade in welcome! call us now to find out more!,2010.0,,26-apr-2011,van,coe car,manual,1280.0,,diesel,1461.0,2.0,6380.0,19991.0,,18666.0,,23466.0,1174.0,,25-apr-2031,uncategorized,view specs of the nissan nv200,,,32800.0,34249.266
11764,1023157,Toyota Hiace 3.0M,toyota,hiace,"only one single owner, low mileage done, view to appreciate, no repair needed, high trade in and loan available.",2017.0,,31-oct-2017,van,-,manual,1700.0,,diesel,2982.0,1.0,9750.0,34574.0,,21379.0,68818.0,28138.0,1407.0,,30-oct-2037,uncategorized,factory features. view specs of the toyota hiace,"factory accessories, camera etc.",,66300.0,64992.59
11765,988662,Audi A5 Sportback 2.0A TFSI Quattro (New 10-yr COE),audi,a5,1180,2011.0,,07-jul-2011,luxury sedan,coe car,auto,1550.0,155.0,,1984.0,2.0,9870.0,,1313.0,,101000.0,47443.0,47443.0,,,uncategorized,"2.0l 4 cylinders inline tfsi turbocharged engine producing 207bhp, 7-speed s-tronic transmission, 0 to 100 km/h in 6.6s, all wheel drive. view specs of the audi a5 coupe","cf front lip, electric front seats, rear aircon, led day running lights, auto head lights, electric park brake, rear knockdown seats, cruise control.",,108700.0,106081.97
11766,1025033,Mazda 3 1.5A Deluxe,mazda,3,"1 owner! low mileage! original paintwork since day 1, accident free or money guarantee back, sta/vicom are welcome, 1 year warranty provided, road tax renew next year, excellent driving condition, non phv unit! full loan or bank loan are welcome, trade in welcome, appointment basic due to covid, no obligation.",2015.0,,29-jan-2016,mid-sized sedan,"parf car, premium ad car",auto,1321.0,88.0,,1496.0,1.0,9570.0,51301.0,682.0,31695.0,80000.0,17812.0,12812.0,,,uncategorized,"1.5l dohc 16 valves skyactive-g engine, 118 bhp, 6 speed skyactive-drive auto transmission, abs, airbags, keyless entry/start/stop, cruise control. view specs of the mazda 3 sedan","sunroof, electric leather seats, factory fitted head unit, hud/gps/steering controls, reverse camera/sensors, fog lights, 2 remote keys.",,53700.0,54185.195
11767,989467,Mercedes-Benz C-Class C200K (COE till 01/2029),mercedes-benz,c200,direct owner. coe renewed in 2019 till 2029. tip top condition. lightly use car. owner will retain number plate. new number plate. low mileage. contact to deal.,2008.0,,12-feb-2009,luxury sedan,"coe car, direct owner sale",auto,1490.0,135.0,,1796.0,3.0,8530.0,31335.0,1266.0,23317.0,,43097.0,43097.0,,,uncategorized,brown leather seats. view specs of the mercedes-benz c-class saloon,stock condition. original rims.,,69800.0,68583.71
11768,996266,Volkswagen Caddy Maxi 1.6A,volkswagen,caddy,well kept. no repair needed. excellent condition. accident free.,2014.0,,26-aug-2015,van,direct owner sale,auto,1520.0,,diesel,1598.0,2.0,9490.0,46501.0,,18613.0,93000.0,26699.0,1335.0,,25-aug-2035,uncategorized,view specs of the volkswagen caddy,"front and back camera, sound proof. new solar film and new tyres.",,41800.0,40519.094
11769,1022579,Mercedes-Benz G-Class G63 AMG 4MATIC,mercedes-benz,amg,the most extreme suv from amg you can buy today! equipped with the latest technologies to ensure you'll get the full amg driving experience while maximizing daily driving capabilities. great resale value. comprehensive 5-year warranty by cars & coffee's specialized service centre. attractive trade in and flexible financing available! call us before it's gone! limited stock available.,2021.0,,05-aug-2021,suv,"parf car, almost new car, premium ad car",auto,,,,3982.0,1.0,54190.0,56001.0,3922.0,236828.0,88.0,149717.0,241491.0,,,uncategorized,"powered by a 4.0 bi-turbo v8 hand-built engine by amg mated to 9g-tronic amg speedshift, producing 577 bhp & 850 nm of torque. 0-100 km/h in 4.5s. awd view specs of the mercedes-benz g63","electric sunroof, amg ride control suspension, multibeam led headlight, 360-degree camera, burmester surround sound, wide-screen digital cockpit.",,725800.0,723668.9
11770,1009780,Mercedes-Benz C-Class C180 Avantgarde,mercedes-benz,c180,"1.88% bank loan interest rate. c&c unit, agent service. posh black and white interior. very well maintained, view to believe. flexible high loan available. brake rotors, brake pads, rims and tires replaced recently. add-on rear boot spoiler. extremely well taken care of by owner. well preserved interior. almost brand new! no repair required. viewing by appointment only!",2017.0,,30-jan-2018,luxury sedan,"parf car, premium ad car",auto,1425.0,115.0,,1595.0,2.0,14880.0,47002.0,740.0,63337.0,,37239.0,44135.0,,,uncategorized,"1.6l turbocharged engine, 154 bhp, 9g-tronic auto with paddle shifters, abs, airbags, cruise/traction control, anti-collision assist view specs of the mercedes-benz c-class saloon","electric/memory leather seats, sports rims, factory fitted audio system with telephony/bluetooth, reverse sensors/camera, auto tailgate, rear aircons",,129600.0,135879.44
11771,1028096,Toyota Hiace 3.0M,,hiace,"the perfect van for your business needs. incredible performance coupled with good fuel economy from the diesel engine. fully suitable for everyday usage with low to no maintenance. pristine condition van, well taken care by previous owner. negotiable price. flexible financing. in-house loan available. highest trade in value for your vehicles. call/what's app us today!",2018.0,,15-feb-2019,van,premium ad car,manual,1700.0,,diesel,2982.0,1.0,9240.0,26230.0,,19525.0,,28136.0,1407.0,,14-feb-2039,uncategorized,1 owner unit! view specs of the toyota hiace,"front camera, reverse camera, reverse sensor, radio and cd player. customized quality wood for floorboard and wheel hub cover.",,75700.0,78761.31
11772,953304,Audi Q5 2.0A TFSI Quattro S-tronic Sport,audi,q5,"elegant grey suv, one owner only, powerful drive with 248 bhp, with electric tailgate and navigation system, genuine low mileage done, very well maintained, easy financing, flexible in-house loan packages available.",2017.0,,27-dec-2017,suv,"parf car, low mileage car",auto,1795.0,185.0,,1984.0,1.0,18370.0,53711.0,1194.0,75179.0,32000.0,44883.0,54837.0,,,uncategorized,"airbags, abs, powerful 2.0l 4 cylinders inline turbocharged engine producing 248 bhp, 7 speed s-tronic auto, keyless entry/start. view specs of the audi q5","leather seats, sports rims, audio system, smartphone interface, bluetooth, led headlights, electric seats, electric tailgate.",,158300.0,159453.45
11773,1010684,Maserati GranTurismo MC Stradale 4.7A (COE till 07/2031),maserati,granturismo,"at current vintage, probably the lowest mileage maserati in the market. almost new clutch with about 100% left. full servicing done at tridente automobile pte ltd. interior wear and tear parts replaced. no sticky buttons. protective stickers on some parts of the car have not even been removed!",2011.0,,30-jul-2011,sports car,"coe car, direct owner sale, low mileage car",auto,1770.0,331.0,,4691.0,3.0,29700.0,57955.0,5030.0,57558.0,46000.0,136102.0,136102.0,,,uncategorized,"stunning looking color combination with a 4.7l v8 engine that delivers 454bhp at 7,000rpm and 520nm of torque at 4,750rpm. have sports and race modes. view specs of the maserati granturismo","very high option with rollcage , four point safety harnesses. carbon-ceramic brakes, carbon fiber seats, mc carbon package.",,324500.0,234193.81
11774,1028371,Toyota Vios 1.5A E (COE till 06/2026),toyota,vios,"most reliable japanese sedan vios ideally for daily drives yet fuel efficient. genuine low mileage done, well-maintained and kept in excellent condition, cannot go wrong with this reliable sedan! no further repairs needed. call now!",2011.0,,27-jun-2011,mid-sized sedan,coe car,auto,1095.0,80.0,,1497.0,2.0,7870.0,22636.0,752.0,21743.0,117000.0,11539.0,11539.0,,,uncategorized,"16v dohc 1.5l vvt-i engine, 5 speed auto transmission, abs, airbag, driver height adjustor, retractable mirror, fuel efficiency of 15km/l. view specs of the toyota vios","leather seats, 15"" sports rims, new dunlop tyres. factory audio/cd player. tinted films, reverse sensors, remote alarm.",,41600.0,40727.203
11775,1026675,MINI Cooper S 1.6A Sunroof (New 10-yr COE),mini,cooper,"stage 1 tuned that come with, duell ag bodykit, carbon fibre bonnet, akrapovic exhaust, original oz formula 17""rims, front strut, bilstein b8 absorbers with neospeed lowering spring, driveline rear camber arm. immaculate condition with no repairs needed. full loan available! easy approval. trade in welcome, bank loan available. please call our friendly salesman today!",2012.0,,09-mar-2012,sports car,"coe car, premium ad car",auto,1155.0,135.0,,1598.0,4.0,8580.0,,742.0,,103000.0,29295.0,29295.0,,,uncategorized,"inline 4 cylinders engine, 6 speed auto transmission with paddle shifters. multi function steering, airbags and cruise control. view specs of the mini cooper s","factory fitted mini audio with cd player, ambient lights, original and well kept leather interior",,94500.0,95188.63
11776,1029955,Chevrolet Cruze 1.6A,chevrolet,cruze,"one of the best size seadan to have massive savings! feel the road handling stability, take corners effortlessly with its superb suspension system, cruise in comfort yet with a powerful performance for your full satisfaction! well maintained and kept in tip top condition by previous owner! hurry now! call us now!",2016.0,,28-oct-2016,mid-sized sedan,parf car,auto,1413.0,86.0,,1598.0,1.0,7780.0,50991.0,742.0,36563.0,96188.0,13918.0,13918.0,,,uncategorized,"powered by inline 4 dohc 1.6 engine, 6 speed gearbox, srs airbags, abs, traction control, climate aircon, traction control, multi control steering. view specs of the chevrolet cruze","premium leather seats,sports rims, factory fitted audio system,reverse camera/sensors,solar films,fog lights,knockdown rear seats, foldable mirrors.",,51500.0,52879.32
11777,1029984,Volvo XC90 T5 Momentum,volvo,xc90,"serviced and maintained by wearnes! 1 owner. under agent warranty. spacious cabin yet protected by volvo's legendary safety systems. accident free. 100% loan available with low interest rates. bank loan from 1.88%, consignment/trade in welcome. viewing by appointments due to safe distancing measures.",2019.0,,03-mar-2020,suv,"parf car, premium ad car",auto,2037.0,187.0,,1969.0,1.0,22530.0,37109.0,1176.0,91329.0,,59921.0,79858.0,,,uncategorized,"250bhp, 350nm, 4 cylinder inline 16 valve turbocharged, 0 to 100km/h at 7.9 secs, 8 speed automatic, awd, touring chassis, whips, sips, city safety. view specs of the volvo xc90","sports rims, tyre pressure monitoring system, keyless entry/start, genuine leather, electric memory seats.",,253900.0,249061.9
11778,1005742,Audi A4 1.4A TFSI S-tronic,audi,a4,1022,2016.0,,28-nov-2016,luxury sedan,parf car,auto,1450.0,110.0,,1395.0,1.0,12600.0,53001.0,624.0,48157.0,100000.0,32168.0,27036.0,,,uncategorized,"responsive and fuel savvy 1.4l turbocharged engine mated with 7-speed s-tronic gearbox, producing 147 bhp and 250 nm of torque. view specs of the audi a4 sedan","audi multi infotainment system with apple carplay, bluetooth, led daytime running, auto hold, keyless entry/start.",,87800.0,86706.195
11779,1015444,Nissan NV350 2.5A,nissan,nv350,900,2017.0,,31-may-2017,van,premium ad car,auto,1800.0,,diesel,2488.0,1.0,9160.0,30600.0,,17639.0,,26142.0,1308.0,,30-may-2037,uncategorized,view specs of the nissan nv350,,,58100.0,58769.04
11780,1031282,Mitsubishi Lancer EX 1.6A,mitsubishi,lancer,offer 1.88% interest rate! purchase from an award winning dealership! 1 year comprehensive warranty inclusive! sta certified accident free quality pre-owned with low mileage for peace of mind! 100% loan approval with our flexible in house financing options! view today!,2015.0,,27-may-2016,mid-sized sedan,parf car,auto,1284.0,86.0,,1590.0,1.0,8950.0,47300.0,738.0,31712.0,71339.0,13572.0,13572.0,,,uncategorized,"1.6l 4 cylinder 16 valves dohc mivec engine, 4 speed automatic transmission, multi function steering wheel, srs air bag, keyless entry, auto headlight view specs of the mitsubishi lancer ex","16'' alloy rim, black color leather seats, built in audio system with reverse parking sensor, retractable mirrors.",,53700.0,53009.105
11781,1028274,Toyota Estima 2.4A Aeras (COE till 12/2029),toyota,estima,"the highly demanded full size mpv. new paintwork, well maintained. no further repair needed. 100% loan available at our lowest rate. viewing by appointment only. call us today!",2009.0,,31-dec-2009,mpv,coe car,auto,1750.0,125.0,,2362.0,5.0,8270.0,39313.0,1966.0,32700.0,150000.0,34839.0,34839.0,,,uncategorized,"responsive 2.4l vvti dohc engine, retractable side mirrors, airbags, abs, push start, keyless entry, factory fit hid headlights, dual zone aircon. view specs of the toyota estima","leather seat, roof monitor, sport rim, pioneer touchscreen dvd/reverse camera/sensor, multi-steering control, auto headlight, fog lamp.",,75700.0,71561.4
11782,970818,Mercedes-Benz GLB-Class GLB250 AMG Line 4MATIC Premium Plus 7-Seater,mercedes-benz,amg,"new 2.0 engine 4matic, 8g transmission. latest model, 100% loan available. low interest rates, 5 years warranty! buy with confidence! please call for inquiry.",2020.0,,24-feb-2021,suv,"parf car, almost new car, low mileage car",auto,1721.0,165.0,,1991.0,1.0,22750.0,47506.0,1202.0,76348.0,80.0,45124.0,55174.0,,,uncategorized,2.0l inline 4 turbo. torque 350 nm. 6.3s . power 165kw . top speed 250 km/h. transmission 8g-dct . 4matic view specs of the mercedes-benz glb-class,"smart phone integration/ keyless-go/cruise control/ambient lighting/memory seats/10.25"" touchscreen media display, ambient lighting, sunroof. amg.",,268200.0,267829.16
11783,1017506,Honda Civic 1.5A VTEC Turbo Sunroof,honda,civic,"powerful, responsive, elegant looking civic turbo, great looking designer sedan that's turbo charged, lots of driving pleasure, for scheduled appointment viewing, please get in touch by calling or whatsapp, loan quantum, trade-in, to be discussed.",2016.0,,29-sep-2016,mid-sized sedan,"parf car, premium ad car",auto,1324.0,127.0,,1498.0,2.0,12860.0,51010.0,684.0,43627.0,55000.0,26078.0,23510.0,,,uncategorized,"responsive 170 bhp, 1.5l vtis dohc turbo charged engine, earth dreams cvt transmission, paddle shifter, abs, srs, cruise control, push start. view specs of the honda civic","factory audio, bluetooth interface, rev camera, multi-functional steering, digital aircond, alloy wheels, leather interior, blind spot detector camera",,85000.0,86204.52
11784,981939,Mercedes-Benz E-Class E230 (COE till 05/2028),mercedes-benz,e230,full loan available. well maintained. no further repair needed. warranty provided. 100% loan and trade in are welcome. please contact our friendly sales consultant for a viewing appointment before it's gone. booking fee excluded. strictly by appointment only!,2008.0,,28-may-2008,luxury sedan,"coe car, premium ad car",auto,1605.0,150.0,,2497.0,3.0,7660.0,38712.0,2514.0,26165.0,160000.0,54643.0,54643.0,,,uncategorized,"powerful and reliable 2.5l v6 engine, 7g-tronic auto transmission, keyless go/entry, dual electric/memory seats, cruise control. view specs of the mercedes-benz e-class saloon","multi-cd player, bluetooth hp hands-free, auto headlights and wipers, factory fitted sound system, fog lights.",,57000.0,54899.03
11785,1021931,Lamborghini Huracan EVO RWD,lamborghini,huracan,30,2020.0,,09-oct-2020,sports car,"parf car, rare & exotic, almost new car, premium ad car, low mileage car",auto,1572.0,449.0,,5204.0,1.0,85190.0,41001.0,5834.0,278213.0,3000.0,193955.0,321119.0,,,uncategorized,"5.2l v10 naturally aspirated engine, rear wheel drive with 7 speed ldf gearbox, the engine is detuned and is now rated at 449 kw . view specs of the lamborghini huracan","front & rear parking sensors with reverse camera, lifters, carbon forged engine bay, bluetooth, electronic seats.",,1031800.0,963790.5
11786,1026502,Nissan Note 1.2A,nissan,note,5,2017.0,,30-oct-2017,hatchback,"parf car, low mileage car",auto,1048.0,58.0,,1198.0,1.0,7680.0,44002.0,508.0,30862.0,37000.0,13758.0,5000.0,,,uncategorized,"nissan 1.2 fuel economy engine, xtronic cvt transmission, intelligent keyless push start, idling start stop, foldable rear seats. view specs of the nissan note","leather seats, sports rims, navigation, touchscreen hu, reverse camera, reverse sensors, solar film.",,54800.0,52581.703
11787,1011424,Toyota Picnic 2.0A (COE till 07/2023),toyota,picnic,"new road tax.1 careful owner with no wear and tear to replace, accident-free, beautiful interior and exterior, the ideal family oriented mpv for singapore, sta evaluation for peace of mind are welcome, easy in house finance available! high trade-in, a reliable and spacious family oriented car that will never fail you, call or whatsapp our friendly sales adviser for an appointment for viewing.",2008.0,,28-jul-2008,mpv,coe car,auto,1540.0,110.0,,1998.0,4.0,8940.0,18444.0,1694.0,7085.0,155250.0,24659.0,24659.0,,,uncategorized,"2.0l dohc 16v vvt-i engine, 4 speed auto transmission, dual srs airbags, abs, digital climatic control with 3 rows aircon, retractable side mirrors. view specs of the toyota picnic","leather seats, window films, touch screen radio player, front recorder, reverse camera and sensors.",,18900.0,18356.342
11788,1018490,Toyota Wish 1.8A X (COE till 10/2029),toyota,wish,lucky win preowned cars. extremely well kept unit. new model. clean and neat interior. well maintained by fussy owner. in house loan with immediate approval. no guarantor needed. call us now for a test drive today. quality cars at affordable pricing.,2009.0,,16-oct-2009,mpv,coe car,auto,1340.0,106.0,,1797.0,2.0,6940.0,37502.0,1169.0,30546.0,,22165.0,22165.0,,,uncategorized,view specs of the toyota wish,powerful vvt-i valve matic engine paired with cvt gearbox. original bodykits. sport rims.,,62200.0,61959.35
11789,1031130,Ferrari 488 Spider,ferrari,488,1 owner! ital unit! always sheltered in garage! genuine low mileage! full serivce records! special colour 30k option! now available for you to take over! call quick before it's sold!,2016.0,,01-aug-2016,sports car,"parf car, rare & exotic, low mileage car",auto,1565.0,493.0,,3902.0,1.0,129480.0,57010.0,3796.0,388227.0,9088.0,301607.0,514893.0,,,uncategorized,view specs of the ferrari 488 spider,,,977800.0,1087271.6
11790,1025299,Toyota Rush 1.5A (COE till 08/2027),toyota,rush,"smooth engine, easy to maintain unit, immaculate condition, accident-free depreciation is even cheaper, do not miss, bank and in house loan available! trade in welcome. call our friendly sales executives for a viewing now!",2007.0,,28-aug-2007,suv,"coe car, premium ad car",auto,1150.0,80.0,,1495.0,3.0,7320.0,45400.0,955.0,27277.0,,17011.0,18713.0,,,uncategorized,"1.5l reliable 16v dohc vvt-i engine, 4 speed auto transmission, abs, dual srs airbags, immobilizer, knockdown rear seats view specs of the toyota rush","leather seats, reverse sensors, reverse camera, pioneer dvd player with bluetooth, retractable side mirrors, fog lights, sports rims.",,48400.0,47385.504
11791,1025326,Toyota Harrier 2.0A Premium Panoramic,toyota,harrier,0,2016.0,,18-apr-2017,suv,"parf car, premium ad car, low mileage car",auto,1610.0,111.0,,1986.0,1.0,12280.0,54501.0,1196.0,53785.0,30249.0,31478.0,31070.0,,,uncategorized,view specs of the toyota harrier,,,93400.0,94877.21
11792,1027722,Toyota Corolla Altis 1.6A (COE till 04/2029),toyota,corolla,,2009.0,,23-apr-2009,mid-sized sedan,coe car,auto,1195.0,80.0,,1598.0,2.0,6140.0,26175.0,965.0,19965.0,,16990.0,16990.0,,,uncategorized,view specs of the toyota corolla altis,,,51500.0,51727.19
